IsInstruction,Rating,RT,Response,TrialName,TrialOrder,condition,dot,inertia,num_observations,num_targets,scene,sigma_v,sigma_w,sigma_x,spring,ID
False,81,18361,False,68_5.mp4,114,0,5.0,0.8,8.0,4.0,68.0,2.2,1.857142857142857,120.5,0.0009285714285714286,Participant_88
False,7,12760,True,16_1.mp4,115,0,1.0,0.8,8.0,4.0,16.0,2.2,1.2142857142857144,120.5,0.0005,Participant_88
False,10,12775,False,13_6.mp4,116,0,6.0,0.8,8.0,4.0,13.0,2.2,1.0,120.5,0.0017857142857142857,Participant_88
False,97,15572,True,59_4.mp4,117,0,4.0,0.8,8.0,4.0,59.0,2.2,1.6428571428571428,120.5,0.0015714285714285715,Participant_88
False,95,13994,True,41_2.mp4,118,0,2.0,0.8,8.0,4.0,41.0,2.2,1.4285714285714284,120.5,0.0013571428571428571,Participant_88
False,99,13694,True,58_3.mp4,119,0,3.0,0.8,8.0,4.0,58.0,2.2,1.6428571428571428,120.5,0.0015714285714285715,Participant_88
False,22,13487,False,6_7.mp4,120,0,7.0,0.8,8.0,4.0,6.0,2.2,1.0,120.5,0.0011428571428571427,Participant_88
False,15,13827,True,105_2.mp4,121,0,2.0,0.8,8.0,4.0,105.0,2.2,2.2857142857142856,120.5,0.0013571428571428571,Participant_88
False,96,12891,False,125_6.mp4,122,0,6.0,0.8,8.0,4.0,125.0,2.2,2.5,120.5,0.0017857142857142857,Participant_88
False,7,13253,False,61_6.mp4,123,0,6.0,0.8,8.0,4.0,61.0,2.2,1.6428571428571428,120.5,0.0017857142857142857,Participant_88
False,9,12471,True,57_2.mp4,124,0,2.0,0.8,8.0,4.0,57.0,2.2,1.6428571428571428,120.5,0.0013571428571428571,Participant_88
False,25,15449,True,11_4.mp4,125,0,4.0,0.8,8.0,4.0,11.0,2.2,1.0,120.5,0.0015714285714285715,Participant_88
False,16,13626,False,79_8.mp4,126,0,8.0,0.8,8.0,4.0,79.0,2.2,1.857142857142857,120.5,0.002,Participant_88
False,36,13188,True,75_4.mp4,127,0,4.0,0.8,8.0,4.0,75.0,2.2,1.857142857142857,120.5,0.0015714285714285715,Participant_88
False,44,15709,True,53_2.mp4,0,4,2.0,0.8,8.0,4.0,53.0,2.2,1.6428571428571428,120.5,0.0009285714285714286,Participant_33
False,54,33175,True,14_3.mp4,1,4,3.0,0.8,8.0,4.0,14.0,2.2,1.0,120.5,0.002,Participant_33
False,54,14899,True,28_1.mp4,2,4,1.0,0.8,8.0,4.0,28.0,2.2,1.2142857142857144,120.5,0.0017857142857142857,Participant_33
False,64,47692,False,42_7.mp4,3,4,7.0,0.8,8.0,4.0,42.0,2.2,1.4285714285714284,120.5,0.0015714285714285715,Participant_33
False,87,14260,False,43_8.mp4,4,4,8.0,0.8,8.0,4.0,43.0,2.2,1.4285714285714284,120.5,0.0015714285714285715,Participant_33
False,65,13428,False,91_8.mp4,5,4,8.0,0.8,8.0,4.0,91.0,2.2,2.0714285714285716,120.5,0.0015714285714285715,Participant_33
False,36,22167,False,65_6.mp4,6,4,6.0,0.8,8.0,4.0,65.0,2.2,1.857142857142857,120.5,0.0005,Participant_33
False,90,40098,False,122_7.mp4,7,4,7.0,0.8,8.0,4.0,122.0,2.2,2.5,120.5,0.0015714285714285715,Participant_33
False,94,14155,False,97_6.mp4,8,4,6.0,0.8,8.0,4.0,97.0,2.2,2.2857142857142856,120.5,0.0005,Participant_33
False,41,14460,True,102_3.mp4,9,4,3.0,0.8,8.0,4.0,102.0,2.2,2.2857142857142856,120.5,0.0011428571428571427,Participant_33
False,67,14808,False,115_8.mp4,10,4,8.0,0.8,8.0,4.0,115.0,2.2,2.5,120.5,0.0007142857142857143,Participant_33
False,69,18544,False,73_6.mp4,11,4,6.0,0.8,8.0,4.0,73.0,2.2,1.857142857142857,120.5,0.0013571428571428571,Participant_33
False,84,14411,False,80_5.mp4,12,4,5.0,0.8,8.0,4.0,80.0,2.2,2.0714285714285716,120.5,0.0005,Participant_33
False,100,13660,True,87_4.mp4,13,4,4.0,0.8,8.0,4.0,87.0,2.2,2.0714285714285716,120.5,0.0011428571428571427,Participant_33
False,59,13939,False,96_5.mp4,14,4,5.0,0.8,8.0,4.0,96.0,2.2,2.2857142857142856,120.5,0.0005,Participant_33
False,81,15347,False,31_4.mp4,15,4,4.0,0.8,8.0,4.0,31.0,2.2,1.2142857142857144,120.5,0.002,Participant_33
False,82,13397,False,67_8.mp4,16,4,8.0,0.8,8.0,4.0,67.0,2.2,1.857142857142857,120.5,0.0007142857142857143,Participant_33
False,59,13555,True,39_4.mp4,17,4,4.0,0.8,8.0,4.0,39.0,2.2,1.4285714285714284,120.5,0.0011428571428571427,Participant_33
